Time Period,p-Value,Values
Before the Video,0.978220879668567,"[[61.60393539780273, 101.09173216884265, 82.66578249336868, 96.88105908176331, 67.07297734627831], [56.22204921429752, 91.47188499775021, 68.04646054376656, 104.49475260654839, 73.8612921867776], [66.13890861820634, 79.69694077464719, 76.66591351501667, 82.83322281167106, 92.53227155138623, 68.9985841423948], [59.52066026301808, 95.01910775877033, 68.99867374005304, 99.67921163343698, 69.68689320388349]]"
Beginning of the Video,0.9580267262193168,"[[59.89724874835551, 103.68647653470612, 80.58475365426942, 97.69608952187377, 63.36522578895186], [62.15721078796114, 86.1637358859203, 77.13403830967661, 105.78905759397148, 71.29836569579287], [60.3550463184044, 77.73801555340985, 78.48908386043664, 74.45939978880409, 94.58121914997929, 70.58289698556416], [57.66922720942816, 78.47633848234226, 75.06496654054854, 110.52576280191975, 74.7539115782717]]"
Middle of the Video,0.9841553013550542,"[[54.82604124946332, 98.94090485492596, 71.07095490716179, 98.58113674716924, 64.62307623157137], [53.932636671928336, 84.24776903287189, 72.5525268742147, 99.08131976409375, 73.18288602843651], [55.350878731826946, 81.83300264313986, 76.4522546419098, 70.77829308115818, 96.59855665091025, 73.8048685821744], [57.98083288329289, 72.59447680021051, 76.13364560494317, 105.18321227630793, 86.38668315732377]]"
Near End of the Video,0.9677698968369397,"[[54.67224726725221, 97.00926322162185, 71.26989389920423, 102.53603397985314, 64.50022819683014], [54.450574484370954, 82.29283318263094, 74.39074933687002, 100.19244283170613, 74.69096793174462], [55.87515159569415, 93.98327310657308, 74.76490631525479, 74.36856373849274, 95.36492074038726, 75.97623881772428], [55.26313566610578, 85.3828808462458, 77.31368444600682, 105.14980237691505, 88.34556852701174]]"
End of the Video,0.947651203042977,"[[57.26183063480849, 107.10361605972945, 74.21494644595909, 105.32594490387302, 76.63321130361707], [54.37813226686575, 88.9325087911747, 76.5260491056247, 97.6945245855297, 74.98383732668269], [58.36101124231905, 94.66083927265275, 72.81063494694958, 76.68988664231017, 101.0507882930701, 74.04880523937058], [66.24941199159018, 93.0018118464379, 75.77574076470205, 99.7928806605869, 77.89111962610681]]"
Three Minutes After the Video,0.9953265591972439,"[[63.49886402708889, 96.17953688510232, 81.00942070801624, 101.17811218753764, 77.98257588438788], [59.752816425678404, 93.45034006897666, 79.08540601094433, 101.37394689657951, 73.6827425774337], [57.11027949716059, 99.44660430621929, 77.96121467312922, 79.4004060306248, 104.21721854546755, 74.30491397646573], [60.35183182811408, 91.72706660229046, 80.21132078435595, 100.67049799421763, 78.51174320777588]]"
