,,,Video 1,,,,,,Video 2,,,,,,Video 3,,,,,,Video 4,,,,,,,,,,
Subject,Trial Date,Trial Start,Before Video,Beginning of video,Overall,Near end of video,Immediately after video,three minutes after video,Before Video,Beginning of video,Overall,Near end of video,Immediately after video,three minutes after video,Before Video,Beginning of video,Overall,Near end of video,Immediately after video,three minutes after video,Before Video,Beginning of video,Overall,Near end of video,Immediately after video,three minutes after video,Rest period Start,End of Trial,,,
1,3/22/22,12:45:50,12:45:50,12:46:00,12:46:59,12:47:09,12:48:08,12:50:15,12:50:16,12:50:18,12:51:17,12:54:01,12:55:00,12:58:00,12:58:01,12:58:02,12:59:02,13:00:09,13:01:09,13:04:07,13:04:08,13:04:09,13:05:10,13:07:00,13:08:01,13:11:02,12:11:02,13:18:22,,,
2,3/22/22,13:58:38,14:05:01,14:05:02,14:06:02,14:07:04,14:08:04,14:11:04,14:11:05,14:11:06,14:12:06,14:13:58,14:14:58,14:18:59,14:19:00,14:19:01,14:20:01,14:22:44,14:23:44,12:26:59,14:27:00,14:27:01,14:28:01,14:28:06,14:29:06,14:32:06,14:32:07,14:39:00,,,
3,3/22/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3/24/22,13:01:49,13:03:00,13:03:01,13:04:01,13:05:53,13:06:53,13:09:53,13:16:00,13:16:01,13:17:02,13:18:03,13:19:03,13:22:03,13:25:00,13:25:01,13:26:01,13:28:43,13:29:43,13:32:59,13:33:00,13:33:01,13:33:31,13:33:32,13:34:02,13:37:02,13:37:03,13:44:00,,,
5,3/24/22,14:05:20,14:10:00,14:10:01,14:11:00,14:13:43,14:14:43,14:18:59,14:19:00,14:19:01,14:20:01,14:20:06,14:21:07,14:24:59,14:25:00,14:25:01,14:26:01,14:27:53,14:28:53,14:33:58,14:33:59,14:34:00,14:35:00,14:36:00,14:37:02,14:40:02,14:40:03,14:47:26,,,
6,3/24/22,14:59:41,15:00:59,15:01:00,15:02:00,15:04:43,15:05:43,15:08:43,15:08:44,15:08:44,15:09:44,15:11:36,15:12:36,15:15:49,15:15:50,15:15:51,15:15:51,15:16:52,15:17:57,15:21:56,15:21:57,15:21:58,15:22:58,15:23:58,15:25:00,15:28:00,15:28:01,15:35:35,,,
